Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
445,Dartrix,6e-05,53.0,0.003,37.0,0.002
446,Staravia,6e-05,38.0,0.002,37.0,0.002
447,Plusle,6e-05,305.0,0.015,221.0,0.014
448,Grumpig,6e-05,936.0,0.047,603.0,0.038
449,Pupitar,5e-05,16.0,0.001,13.0,0.001
450,Pignite,5e-05,99.0,0.005,81.0,0.005
451,Squawkabilly,5e-05,894.0,0.044,642.0,0.04
452,Sunflora,5e-05,622.0,0.031,465.0,0.029
453,Hypno,4e-05,635.0,0.032,491.0,0.031
454,Lycanroc-Midnight,4e-05,1013.0,0.05,767.0,0.048
455,Illumise,4e-05,772.0,0.038,602.0,0.038
456,Rotom-Fan,4e-05,468.0,0.023,367.0,0.023
457,Koffing,4e-05,87.0,0.004,64.0,0.004
458,Drifloon,4e-05,156.0,0.008,131.0,0.008
459,Bergmite,3e-05,56.0,0.003,43.0,0.003
460,Cosmoem,3e-05,104.0,0.005,75.0,0.005
461,Gurdurr,3e-05,158.0,0.008,116.0,0.007
462,Vivillon,3e-05,1108.0,0.055,801.0,0.05
463,Bronzor,3e-05,6.0,0.0,5.0,0.0
464,Carkol,3e-05,82.0,0.004,67.0,0.004
465,Sentret,3e-05,47.0,0.002,38.0,0.002
466,Marshtomp,3e-05,76.0,0.004,58.0,0.004
467,Chimecho,3e-05,930.0,0.046,694.0,0.044
468,Porygon,3e-05,84.0,0.004,73.0,0.005
469,Lampent,3e-05,58.0,0.003,41.0,0.003
470,Starly,3e-05,261.0,0.013,212.0,0.013
471,Riolu,3e-05,504.0,0.025,329.0,0.021
472,Vulpix,3e-05,81.0,0.004,57.0,0.004
473,Doduo,3e-05,84.0,0.004,63.0,0.004
474,Nacli,2e-05,24.0,0.001,21.0,0.001
475,Finizen,2e-05,17.0,0.001,15.0,0.001
476,Pineco,2e-05,229.0,0.011,188.0,0.012
477,Oinkologne-F,2e-05,117.0,0.006,97.0,0.006
478,Sneasel,2e-05,326.0,0.016,236.0,0.015
479,Torracat,2e-05,262.0,0.013,217.0,0.014
480,Mudbray,2e-05,42.0,0.002,36.0,0.002
481,Wooper-Paldea,2e-05,79.0,0.004,52.0,0.003
482,Zorua,2e-05,104.0,0.005,58.0,0.004
483,Granbull,2e-05,574.0,0.029,468.0,0.029
484,Minccino,1e-05,30.0,0.001,23.0,0.001
485,Croagunk,1e-05,39.0,0.002,31.0,0.002
486,Ivysaur,1e-05,104.0,0.005,71.0,0.004
487,Aipom,1e-05,52.0,0.003,45.0,0.003
488,Scorbunny,1e-05,32.0,0.002,27.0,0.002
489,Cosmog,1e-05,26.0,0.001,14.0,0.001
490,Chikorita,1e-05,14.0,0.001,8.0,0.001
491,Oinkologne,1e-05,252.0,0.013,186.0,0.012
492,Braixen,1e-05,102.0,0.005,86.0,0.005
493,Bagon,1e-05,41.0,0.002,29.0,0.002
494,Mareanie,1e-05,106.0,0.005,82.0,0.005
